localTime,refTime,TPS,TxnCount,BlockCount
21 Jul 2025 10:45:13,00:00:00:01,0,0,1
21 Jul 2025 10:45:14,00:00:00:02,0,0,1
21 Jul 2025 10:45:15,00:00:00:03,0,0,1
21 Jul 2025 10:45:16,00:00:00:04,0,0,1
21 Jul 2025 10:45:17,00:00:00:05,0,0,1
21 Jul 2025 10:45:18,00:00:00:06,0,0,1
21 Jul 2025 10:45:19,00:00:00:07,0,0,1
21 Jul 2025 10:45:20,00:00:00:08,0,0,1
21 Jul 2025 10:45:21,00:00:00:09,0,0,1
21 Jul 2025 10:45:22,00:00:00:10,0,0,1
21 Jul 2025 10:45:23,00:00:00:11,0,0,1
21 Jul 2025 10:45:24,00:00:00:12,0,0,1
21 Jul 2025 10:45:25,00:00:00:13,0,0,1
21 Jul 2025 10:45:26,00:00:00:14,0,0,1
21 Jul 2025 10:45:27,00:00:00:15,0,0,1
21 Jul 2025 10:45:28,00:00:00:16,0,0,1
21 Jul 2025 10:45:29,00:00:00:17,0,0,1
21 Jul 2025 10:45:30,00:00:00:18,0,0,1
21 Jul 2025 10:45:31,00:00:00:19,0,0,1
21 Jul 2025 10:45:32,00:00:00:20,0,0,1
21 Jul 2025 10:45:33,00:00:00:21,0,0,1
21 Jul 2025 10:45:34,00:00:00:22,0,0,1
21 Jul 2025 10:45:35,00:00:00:23,0,0,1
21 Jul 2025 10:45:36,00:00:00:24,0,0,1
21 Jul 2025 10:45:37,00:00:00:25,0,0,1
21 Jul 2025 10:45:38,00:00:00:26,0,0,1
21 Jul 2025 10:45:39,00:00:00:27,0,0,1
21 Jul 2025 10:45:40,00:00:00:28,0,0,1
21 Jul 2025 10:45:41,00:00:00:29,0,0,1
21 Jul 2025 10:45:42,00:00:00:30,1,40,2
21 Jul 2025 10:45:43,00:00:00:31,1,40,2
21 Jul 2025 10:45:44,00:00:00:32,1,40,2
21 Jul 2025 10:45:45,00:00:00:33,1,40,2
21 Jul 2025 10:45:46,00:00:00:34,1,40,2
21 Jul 2025 10:45:47,00:00:00:35,1,40,2
21 Jul 2025 10:45:48,00:00:00:36,1,40,2
21 Jul 2025 10:45:49,00:00:00:37,1,40,2
21 Jul 2025 10:45:50,00:00:00:38,1,40,2
21 Jul 2025 10:45:51,00:00:00:39,1,40,2
21 Jul 2025 10:45:52,00:00:00:40,0,40,2
21 Jul 2025 10:45:53,00:00:00:41,0,40,2
21 Jul 2025 10:45:54,00:00:00:42,0,40,2
21 Jul 2025 10:45:55,00:00:00:43,0,40,2
21 Jul 2025 10:45:56,00:00:00:44,0,40,2
21 Jul 2025 10:45:57,00:00:00:45,0,40,2
21 Jul 2025 10:45:58,00:00:00:46,0,40,2
21 Jul 2025 10:45:59,00:00:00:47,0,40,2
21 Jul 2025 10:46:00,00:00:00:48,0,40,2
21 Jul 2025 10:46:01,00:00:00:49,0,40,2
21 Jul 2025 10:46:02,00:00:00:50,0,40,2
21 Jul 2025 10:46:03,00:00:00:51,0,40,2
21 Jul 2025 10:46:04,00:00:00:52,0,40,2
21 Jul 2025 10:46:05,00:00:00:53,0,40,2
21 Jul 2025 10:46:06,00:00:00:54,0,40,2
21 Jul 2025 10:46:07,00:00:00:55,0,40,2
21 Jul 2025 10:46:08,00:00:00:56,0,40,2
21 Jul 2025 10:46:09,00:00:00:57,0,40,2
21 Jul 2025 10:46:10,00:00:00:58,0,40,2
21 Jul 2025 10:46:11,00:00:00:59,0,40,2
21 Jul 2025 10:46:12,00:00:01:00,0,40,2
21 Jul 2025 10:46:13,00:00:01:01,0,40,2
21 Jul 2025 10:46:14,00:00:01:02,0,40,2
21 Jul 2025 10:46:15,00:00:01:03,0,40,2
21 Jul 2025 10:46:16,00:00:01:04,0,40,2
21 Jul 2025 10:46:17,00:00:01:05,0,40,2
21 Jul 2025 10:46:18,00:00:01:06,0,40,2
21 Jul 2025 10:46:19,00:00:01:07,0,40,2
21 Jul 2025 10:46:20,00:00:01:08,0,40,2
21 Jul 2025 10:46:21,00:00:01:09,0,40,2
21 Jul 2025 10:46:22,00:00:01:10,0,40,2
21 Jul 2025 10:46:23,00:00:01:11,0,40,2
21 Jul 2025 10:46:24,00:00:01:12,0,40,2
21 Jul 2025 10:46:25,00:00:01:13,0,40,2
21 Jul 2025 10:46:26,00:00:01:14,0,40,2
21 Jul 2025 10:46:27,00:00:01:15,0,40,2
21 Jul 2025 10:46:28,00:00:01:16,0,40,2
21 Jul 2025 10:46:29,00:00:01:17,0,40,2
21 Jul 2025 10:46:30,00:00:01:18,0,40,2
21 Jul 2025 10:46:31,00:00:01:19,0,40,2
21 Jul 2025 10:46:32,00:00:01:20,0,40,2
21 Jul 2025 10:46:33,00:00:01:21,0,40,2
21 Jul 2025 10:46:34,00:00:01:22,0,40,2
21 Jul 2025 10:46:35,00:00:01:23,0,40,2
21 Jul 2025 10:46:36,00:00:01:24,0,40,2
21 Jul 2025 10:46:37,00:00:01:25,0,40,2
21 Jul 2025 10:46:38,00:00:01:26,0,40,2
21 Jul 2025 10:46:39,00:00:01:27,0,40,2
21 Jul 2025 10:46:40,00:00:01:28,1,140,3
21 Jul 2025 10:46:41,00:00:01:29,1,140,3
21 Jul 2025 10:46:42,00:00:01:30,1,140,3
21 Jul 2025 10:46:43,00:00:01:31,1,140,3
21 Jul 2025 10:46:44,00:00:01:32,1,140,3
21 Jul 2025 10:46:45,00:00:01:33,1,140,3
21 Jul 2025 10:46:46,00:00:01:34,1,140,3
21 Jul 2025 10:46:47,00:00:01:35,1,140,3
21 Jul 2025 10:46:48,00:00:01:36,1,140,3
21 Jul 2025 10:46:49,00:00:01:37,1,140,3
21 Jul 2025 10:46:50,00:00:01:38,1,140,3
21 Jul 2025 10:46:51,00:00:01:39,1,140,3
21 Jul 2025 10:46:52,00:00:01:40,1,140,3
21 Jul 2025 10:46:53,00:00:01:41,1,140,3
21 Jul 2025 10:46:54,00:00:01:42,1,140,3
21 Jul 2025 10:46:55,00:00:01:43,1,140,3
21 Jul 2025 10:46:56,00:00:01:44,1,140,3
21 Jul 2025 10:46:57,00:00:01:45,1,140,3
21 Jul 2025 10:46:58,00:00:01:46,1,140,3
21 Jul 2025 10:46:59,00:00:01:47,1,140,3
21 Jul 2025 10:47:00,00:00:01:48,1,140,3
21 Jul 2025 10:47:01,00:00:01:49,1,140,3
21 Jul 2025 10:47:02,00:00:01:50,1,140,3
21 Jul 2025 10:47:03,00:00:01:51,1,140,3
21 Jul 2025 10:47:04,00:00:01:52,1,140,3
21 Jul 2025 10:47:05,00:00:01:53,1,140,3
21 Jul 2025 10:47:06,00:00:01:54,1,140,3
21 Jul 2025 10:47:07,00:00:01:55,1,140,3
21 Jul 2025 10:47:08,00:00:01:56,1,140,3
21 Jul 2025 10:47:09,00:00:01:57,1,140,3
21 Jul 2025 10:47:10,00:00:01:58,1,140,3
21 Jul 2025 10:47:11,00:00:01:59,1,140,3
21 Jul 2025 10:47:12,00:00:02:00,1,140,3
21 Jul 2025 10:47:13,00:00:02:01,1,140,3
21 Jul 2025 10:47:14,00:00:02:02,1,140,3
21 Jul 2025 10:47:15,00:00:02:03,1,140,3
21 Jul 2025 10:47:16,00:00:02:04,1,140,3
21 Jul 2025 10:47:17,00:00:02:05,1,140,3
21 Jul 2025 10:47:18,00:00:02:06,1,140,3
21 Jul 2025 10:47:19,00:00:02:07,1,140,3
21 Jul 2025 10:47:20,00:00:02:08,1,140,3
21 Jul 2025 10:47:21,00:00:02:09,1,140,3
21 Jul 2025 10:47:22,00:00:02:10,1,140,3
21 Jul 2025 10:47:23,00:00:02:11,1,140,3
21 Jul 2025 10:47:24,00:00:02:12,1,140,3
21 Jul 2025 10:47:25,00:00:02:13,1,140,3
21 Jul 2025 10:47:26,00:00:02:14,1,140,3
21 Jul 2025 10:47:27,00:00:02:15,1,140,3
21 Jul 2025 10:47:28,00:00:02:16,1,140,3
21 Jul 2025 10:47:29,00:00:02:17,1,140,3
21 Jul 2025 10:47:30,00:00:02:18,1,140,3
21 Jul 2025 10:47:31,00:00:02:19,1,140,3
21 Jul 2025 10:47:32,00:00:02:20,0,140,3
